image,subj_ident_pre,subj_ident_gray,subj_ident_post,verbal_acc_pre,verbal_acc_gray,verbal_acc_post,sem_dist_pre,sem_dist_gray,sem_dist_post,sem_entropy_pre,sem_entropy_gray,sem_entropy_post,diff_mean_subj_ident,diff_mean_verbal_acc,diff_mean_sem_dist,diff_mean_sem_entropy,info_gain_sem_dist,info_gain_entropy,info_gain_sem_dist_gray,info_gain_entropy_gray
amplifier,0.2631578947368421,0.9473684210526316,0.8421052631578947,0.0,0.2105263157894736,0.1578947368421052,0.6859608734595903,0.2918992703250144,0.3565364414681813,2.94770277922009,2.6644977792004614,3.039148671903071,0.5789473684210527,0.1578947368421052,-0.32942443199140903,0.09144589268298109,0.32942443199140903,-0.09144589268298109,0.39406160313457594,0.28320500001962845
anchor,0.75,0.8125,0.9375,0.5625,0.875,0.9375,0.246286390618737,0.0,0.0,1.626688849701832,-0.0,-0.0,0.1875,0.375,-0.246286390618737,-1.626688849701832,0.246286390618737,1.626688849701832,0.246286390618737,1.626688849701832
ankle,0.1764705882352941,0.8823529411764706,0.8823529411764706,0.0,0.1764705882352941,0.1176470588235294,0.5416189647077752,0.290730858801818,0.3876607018784473,2.75,1.188721875540867,1.7004397181410922,0.7058823529411764,0.1176470588235294,-0.15395826282932784,-1.0495602818589078,0.15395826282932784,1.0495602818589078,0.25088810590595717,1.561278124459133
anklet,0.2,0.9333333333333332,0.8,0.0,0.0,0.0,0.6172791873013375,0.246290104476386,0.2287786147363679,3.321928094887362,1.971747257128181,1.9609640474436816,0.6000000000000001,0.0,-0.38850057256496956,-1.3609640474436806,0.38850057256496956,1.3609640474436806,0.37098908282495147,1.350180837759181
ant,0.0769230769230769,0.9230769230769232,0.8461538461538461,0.1538461538461538,0.7692307692307693,0.6153846153846154,0.4775729386001958,0.0634829296541915,0.2102664110583251,2.94770277922009,0.6500224216483541,1.584962500721156,0.7692307692307693,0.4615384615384616,-0.2673065275418707,-1.3627402784989338,0.2673065275418707,1.3627402784989338,0.4140900089460043,2.2976803575717355
anteater,0.3333333333333333,0.8333333333333334,0.9444444444444444,0.0555555555555555,0.4444444444444444,0.4444444444444444,0.6196401811194582,0.2677079442102774,0.2541082833198325,3.521640636343319,2.0874628412503395,1.96981578242681,0.6111111111111112,0.38888888888888895,-0.3655318977996257,-1.551824853916509,0.3655318977996257,1.551824853916509,0.3519322369091808,1.4341777950929795
antelope,0.7142857142857143,0.9285714285714286,0.9285714285714286,0.1428571428571428,0.2142857142857142,0.2857142857142857,0.3068604733366065,0.2562747970527263,0.2570404540678686,2.5503407095463886,2.1180782093497093,2.084962500721156,0.2142857142857143,0.1428571428571429,-0.049820019268737914,-0.4653782088252325,0.049820019268737914,0.4653782088252325,0.050585676283880165,0.43226250019667933
antenna,0.75,1.0,0.9375,0.25,0.125,0.125,0.1691766420533752,0.0703924835043933,0.1168572054108598,2.0634582986483037,1.3092966682370035,1.6140054628542204,0.1875,-0.125,-0.05231943664251541,-0.44945283579408324,0.05231943664251541,0.44945283579408324,0.09878415854898191,0.7541616304113001
anvil,0.1904761904761904,0.5238095238095238,0.4761904761904761,0.0,0.1904761904761904,0.0952380952380952,0.7820109505036243,0.4747680059420153,0.6341437191788811,3.2776134368191157,1.9508257945180885,3.2516291673878226,0.2857142857142857,0.0952380952380952,-0.14786723132474322,-0.02598426943129306,0.14786723132474322,0.02598426943129306,0.30724294456160905,1.3267876423010272
appetizer,0.1666666666666666,0.9444444444444444,0.8888888888888888,0.0,0.0,0.0,0.5911081715563996,0.6438456387969773,0.6242450549307116,3.4594316186372978,2.0349409139562287,2.359879028736861,0.7222222222222222,0.0,0.033136883374311976,-1.0995525899004366,-0.033136883374311976,1.0995525899004366,-0.05273746724057771,1.424490704681069
apple,0.1111111111111111,1.0,0.6111111111111112,0.1111111111111111,0.7777777777777778,0.3333333333333333,0.5591867703511955,0.0264617617412545,0.3554991814402897,3.5465935642949384,0.3533593350214213,2.292481250360578,0.5,0.2222222222222222,-0.20368758891090577,-1.2541123139343604,0.20368758891090577,1.2541123139343604,0.532725008609941,3.193234229273517
apple_tree,0.5,0.9285714285714286,1.0,0.0,0.4285714285714285,0.4285714285714285,0.5321914471254799,0.246507217132993,0.246507217132993,2.321928094887362,2.199687794731328,2.199687794731328,0.5,0.4285714285714285,-0.28568422999248694,-0.12224030015603438,0.28568422999248694,0.12224030015603438,0.28568422999248694,0.12224030015603438
applesauce,0.1428571428571428,0.5714285714285714,0.4615384615384615,0.0,0.0714285714285714,0.0,0.701887615146377,0.200296856237985,0.6122167813383322,2.807354922057604,2.2221915755066783,2.6464393446710153,0.3186813186813187,0.0,-0.08967083380804475,-0.1609155773865889,0.08967083380804475,0.1609155773865889,0.501590758908392,0.5851633465509258
